paper_id,included_other_papers,cited_by_crossreference,in_wos,Data_extracted,first_author,year,title,journal,waterbody_name,lake_reservoir,single_multiple,country,read in depth,email authors,notes
64,Maavara 2015,,,x,Walker,1985,Empirical methods for predicting eutrophication in impoundments,US Army Corps of Engineers Report,,reservoirs,multiple,,,,
65,"N from other paper in Harrison et al, P extracted from this paper",,,x,Jensen ,2006,An empirical model describing the seasonal dynamics of phosphorus in 16 shallow eutrophic lakes after external loading reduction,Limnology & Oceanography,,lakes,multiple,,,,lake recovering from eutrophication
66,"Harrison, Finlay ",,,x,Teodiru ,2005,Retention of sediments and nutrients in the Iron Gate I Reservoir on the Danube River,Biogeochemistry,Iron Gate Reservoir,reservoir,single,,,,
67,Maavara,,,x,Pomogyi,1993,Nutrient retention by the Kis-Balaton Water Protection System,Hydrobiologia,,reservoir,single,,,,
68,Maavara,,,x,Le Thi,2010,Nutrient transfers in the subtropical Red River system (China and Vietnam): Modelling and budget of nutrient sources and sinks,,,,,,,,
69,Maavara,,,x,Ramirez,2010,"Changing water, phosphorus and nitrogen budgets for Valle de Bravo reservoir, water supply for Mexico City Metropolitan Area",Lake and Reservoir Management,Valle de Bravo,reservoir,single,,,,
70,Maavara,,,x,Rydin,2008,Compensetory nutrient enrichment in an oligotrophicated mountain reservoir - effects and fate of added nutrients,Aquatic Scieces,Mjolkvattnet,reservoir,single,,,,
71,Maavara,,,x,Turner,1983,Nutrient retention and transformation in relation to hydraulic flushing rate in a small impoundment,Freshwater Biology,Lake Talquin,lake,single,United States,,,
72,"Maavara, koiv",,,x,Wagner,1996,Diagnostic and feasibility study of Lake Skipout,Oklahoma Conservation Commission Water Quality Division,,lake,single,United States,,,
73,,,,x,Nemery,2015,"Carbon, nitrogen, phosphorus, and sediment sources and retention in a small eutrophic tropical reservoir",Aquatic Sciences,Cointzio,reservoir,single,,,,
74,"Harrison, Finlay",,,x,Ahlgren,1994,Nitrogen budgets in relation to microbial transformations in lakes,Ambio,,lake,multiple,Sweden,,,
75,Finlay,,,,Granina,1997,The chemical budget of lake Baikal: A review,Limnology & Oceanography,Lake Baikal,lake,single,Russia,,,
76,"Finlay, koiv",,,x,Hamilton,2006,Nutrient and water budget for Lake Tarawera,University of Waikato,,,single,New Zealand,,,
77,Finlay,,,,Wilander,2001,Recovery from eutrophication: Experiences of reduced phosphorus input to the four largest lakes of Sweden,Ambio,,lakes,multiple,Sweden,,,
78,Finlay,,,,Stalnacke,1998,Trends in nitrogen transport in Swedish rivers,,,,,Sweden,,,no P data
79,"Finlay, Harrison",,,x,Mengis,1997,Nitrogen elimination in two deep eutrophic lakes,,,,multiple,,,,no P data
80,Finlay,,,,Smith,1989,"Internal sources and sinks of water, P, N, Ca, and Cl in Lake Kinneret, Israel",,,,single,Israel,,,
81,Finlay,,,x,Jonsson,1997,"Sedimentation and mineralisation of organic carbon, nitrogen, and phosphorus in a large humic lake, northern Sweden",Archive fur Hydrobiologia,,lake,single,,,,
82,"Finlay, koiv",,,,Kvarnas,2001,Morphometry and hydrology of the four large lakes of Sweden,Ambio,,,,,,,
83,Finlay,,,x,Schindler,1973,"Physical and chemical limnology of Char Lake, Cornwallis Island",Fisheries Research Board of Canada,Char Lake,lake,single,,,,
84,Finlay,,,,Schindler ,1976,Natural water and chemical budgets for a small Precambrian lake basin in central Canada,Fisheries Research Board of Canada,Rawson Lake,lake,single,Canada,,,
85,Finlay,,,,Dillon,1990,The role of ammonium and nitrate retention in the acidification of lakes and forested catchments,Biogeochemistry,,,multiple,,x,,no P data
86,"Finlay, koiv",,,,Schernewski,2003,"Nutrient budgets, dynamics, and storm effects in a eutrophic, stratified Baltic lake",Acta hydrochimica et hydrobiologica,Lake Belau,,single,Germany,,,
87,Finlay,,,,Gibson,1992,"The nitrogen cycle in Lough Neagh, N. Ireland 1975 to 1987",Int. Rev. Gesamten Hydrobiol. Hydrograph,Lough Neagh,,single,Northern Ireland,,,no P data
88,Finlay,,,,Noges,1998,Nutrient budget of Lake Peipsi in 1998,Proceedings of the Estonian Academy of Sciences Bio. Ecol.,Lake Peipsi,,single,Estonia,,,
89,"Harrison, Finlay, Koiv",,,x,Noges,1998,The budgets of nitrogen and phosphorus in shallow eutrophic Lake Vortsjarv,Hydrobiologia,Lake Vortsjarv,,single,Estonia,,,
90,"Harrison, koiv",,,x,Noges,2005,Water and nutrient mass balance of the partly meromictic temperate Lake Verevi,Hydrobiologia,Lake Verevi,,single,Estonia,,,
91,Finlay,,,,Whalen,1985,"Nitrogen, phosphorus and organic carbon cycling in an arctic lake",Canadian Journal of Fisheries and Aquatic Sciences,Toolik Lake,,single,United States,,,
92,"Finlay, koiv",,,,Ekholm,1997,Internal and external loading as regulators of nutrient concentrations in the agriculturally loaded Lake Pyhajarvi,Hydrobiologia,Lake Pyhajarvi,,single,Finland,,,
93,"Finlay, Harrison",,,x,Dudel,1992,"The nitrogen budget of a shallow lake (Grosser Muggelsee, Berlin)",Int. Rev. Gesamten Hydrobiol. Hydrograph,Grosser Muggelsee,,single,Germany,,,"may not have P data, but may be elsewhere?, P reported in Finlay, so deleted from harrison"
94,Finlay,,,,Broberg,1984,"External budgets for phosphorus, nitrogen and dissolved organic carbon for the acidified Lake Gardsjon",Archive fur Hydrobiologia,Lake Gardsjob,,single,,,,
95,"Finlay, koiv",,,,Ojanen,1979,Phosphorus and nitrogen balance of the eutrophic Lake Tuusulanjarvi,"Publications of the Water Research Institute, National Board of Waters, Finland",Lake Tuusulanjarvi,lake,single,Finland,,,
96,"Finlay, koiv",,,x,Knuuttila,1994,Nutrient balances and phytoplankton dynamics in two agriculturally loaded shallow lakes,Hydrobiologia,,,multiple,Finland,,,
97,"Finlay, Koiv",,,x,Havens,2001,"Nutrient dynamics and the eutrophication of shallow lakes Kasumigaura (Japan), Donghu (PR China), and Okeechobee (USA)",Environmental Pollution,,,multiple,"Japan, China, USA",,,
98,Finlay,,,,Passy,2012,"Restoration of ponds in rural landscapes: Modelling the effect on nitrate contamination of surface water (the Seine River Basin, France)",Science of The Total Environment,,,multiple,France,,,see table 1 for possible other N retention (guessing Finlay has all of these)
99,Finlay,,,,Kronvang,2001,"Chapter 9: Nitrogen transport and fate in European streams, rivers, lakes and wetlands","Book: Nitrogen in the environment: Sources, problems, and management",,,multiple,,,,data may be elsewhere
100,Finlay,,,,Olsen,1994,"Nutrient cycling in shallow, oligotrophic Lake Kvie, Denmark",Hydrobiologia,Lake Kvie,lake,single,Denmark,,,no P data
101,"Harrison, Finlay",,,x,Jeppesen,1998,Changes in nitrogen retention in shallow eutrophic lakes following a decline in density of cyprinids,Archive fur Hydrobiologia,,,multiple,,,,"N only, may be P data in other Danish lakes papers"
102,Finlay,,,,Devito,1989,Phosphorus and nitrogen retention in five Precambrian shield wetlands,Biogeochemistry,,,multiple,Canada,,,
103,Finlay,,,,Olsson,1991,Nitrogen and phosphorus mass balances for Vanern 1970-1989,Vatten,,,single,,,,can't find paper
104,Finlay,,,,Persson,1989,"Lake Vattern, Sweden - a 20-year perspective",Ambio,,,single,Sweden,,,can't find paper
105,Finlay,,,x,Fleischer,1994,Nitrogen removal in created ponds,Ambio,,,multiple,Sweden,,,no P data
106,Finlay2,,,,Verburg,2013,"Nutrient ratios, differential retention, and the effoect on nutrient limitation in a deep oligotrophic lake",Hydrobiologia,Lake Brunner,lake,single,,,,
107,Finlay,,,,Sterner,2007,Increasing stoichiometric imbalance in North America's largest lake: Nitrification in Lake Superior,Geophysical Research Letters,Lake Superior,lake,single,United States,,,
108,"Finlay, Harrison",,,x,Kelly,1987,Prediction of biological acid neutralization in acid-sensitive lakes,Biogeochemistry,,lake,multiple,,,,"may be more lakes than reported in Finlay, but maybe repeats of other papers?"
109,Finlay,,,x,Ferris,2008,Nutrient budgets and river impoundments: Interannual variation and implications for detecting future changes,Lake and Reservoir Management,,reservoirs,multiple,,,,
110,Finlay,,,x,Kaste,2005,Influence of moderate phosphate addition on nitrogen retention in an acidic boreal lake,Canadian Journal of Fisheries and Aquatic Sciences,Lake Nedre Lundetjenn,lake,multiple,,,,
111,Finlay2,,,,LaBaugh,1995,"Groundwater contribution to the water and chemical budgets of Williams Lake, Minnesota, 1980-1991",Canadian Journal of Fisheries and Aquatic Sciences,Williams Lake,lake,single,United States,,,
112,Finlay2,,,,Leavitt,2006,Landscape-scale effects of urban nitrogen on a chain of freshwater lakes in central North America,Limnology & Oceanography,,lake,multiple,Canada,,,
113,Finlay2,,,,Hemond,1984,"Neutralization of acid deposition by nitrate retention at Bickford watershed, Massachusetts",Water Resources Research,Bickford ,,single,,,,
114,"Harrison, Finlay2",,,x,Andersen,1974,Nitrogen and phosphorus budgets and the role of sediments in six shallow Danish lakes,,,,,,,,
115,Finlay2,,,x,Kunz,2011,"Sediment accumulation and carbon, nitrogen, and phosphorus deposition in the large tropical reservoir Lake Kariba (Zambia/Zimbabwe)",Journal of Geophysical Research,Lake Kariba,reservoir,single,Zambia/Zimbabwe,,,"was in Finlay2, but should just extract in this data sheet"
