Reference,Lake/Reservoir Name,Country,Lake or Reservoir,state,latitude,longitude,Z (m),Restime(y),Area_km2,Volume_km3,Q_km3 yr,N_in_mass,N_in_conc,N_out_mass,N_out_conc,% N Removed,P_in_mass,P_in_conc,P_out_mass,P_out_conc,mass_units,conc_units,N_retention,P_retention,Notes,mass_concentration
Patoine et al. 2006,Wascana,Canada,Reservoir,Saskatchewan,50.426269,-104.59036,1.40,0.050,0.500,,,,,,,23.00,,,,,,,0.23,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Buffalo Pound,Canada,Reservoir,Saskatchewan,59.65,-105.50000,3.00,0.700,29.000,,,,,,,95.00,,,,,,,0.95,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Last Mountain,Canada,Reservoir,Saskatchewan,51.07749,-105.25208,7.90,12.600,227.000,,,,,,,99.00,,,,,,,0.99,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Prairie Unpub,Nick,Canada,Lake,Quebec,45.21299,-72.32860,3.00,0.314,,,,,,,,6.07,,,,,,,0.06,,unpublished,
Prairie Unpub,Orford,Canada,Lake,Quebec,45.29388,-72.27154,17.70,3.820,,,,,,,,21.73,,,,,,,0.22,,unpublished,
Prairie Unpub,Roxton,Canada,Lake,Quebec,45.46587,-72.65352,3.20,0.560,,,,,,,,31.49,,,,,,,0.31,,unpublished,
Prairie Unpub,Bowker,Canada,Lake,Quebec,45.42231,-72.21355,25.90,8.960,,,,,,,,57.86,,,,,,,0.58,,unpublished,
Prairie Unpub,Argent,Canada,Lake,Quebec,45.30933,-72.31419,4.60,0.150,,,,,,,,27.57,,,,,,,0.28,,unpublished,
Prairie Unpub,Stukely,Canada,Lake,Quebec,45.37529,-72.24969,13.60,4.030,,,,,,,,36.71,,,,,,,0.37,,unpublished,
Prairie Unpub,Fraser,Canada,Lake,Quebec,43.383665,-72.17683,8.60,0.360,,,,,,,,27.16,,,,,,,0.27,,unpublished,
Prairie Unpub,Brompton,Canada,Lake,Quebec,45.43815,-72.14986,11.50,1.480,,,,,,,,23.08,,,,,,,0.23,,unpublished,
Salas & Martino 1991,Laguna Grande,Venezuela,Lake,,10.59039,-64.03631,3.50,0.120,1.110,0.0039,0.03238,256.3,8.787771429,,6.56,26.31,13.70,0.469714286,,0.29,g m-2 yr-1,mg l-1,0.25,0.383,not sure of coordinates,
Salas & Martino 1991,Tortuguero,Puerto Rico,Lake,,18.46228,-66.44028,1.20,0.133,2.240,0.0027,0.02021,14.8,1.640333333,,1.7,28.36,0.30,0.03325,,0.01,g m-2 yr-1,mg l-1,-0.04,0.699,,
Salas & Martino 1991,Loiza,Puerto Rico,Lake,,18.46171,-66.43616,6.14,0.054,2.425,0.0149,0.27573,232.6,2.045667752,,1.7,13.85,52.90,0.4652443,,0.33,g m-2 yr-1,mg l-1,0.17,0.291,,
Salas & Martino 1991,La Plata,Puerto Rico,Lake,,18.11910,-65.37806,10.00,0.090,3.070,0.0307,0.34111,197.3,1.7757,,0.99,21.13,34.90,0.3141,,0.22,g m-2 yr-1,mg l-1,0.44,0.300,,
Salas & Martino 1991,Requena,Mexico,Lake,Hildago,19.94302,-99.32131,5.00,0.260,4.820,0.0241,0.09269,97.7,5.081388,,1.74,43.62,13.23,0.687908,,0.38,g m-2 yr-1,mg l-1,0.66,0.443,,
Salas & Martino 1991,Tequesquitengo,Mexico,Lake,Morelos,18.61840,-99.26907,16.00,98.500,8.000,0.1280,0.00130,1.3,8.21859375,,0.645,99.66,0.05,0.2831875,,0.02,g m-2 yr-1,mg l-1,0.92,0.919,,
Salas & Martino 1991,Laguna de Sonso,Colombia,Lake,,3.85952,-76.35347,1.00,0.041,10.000,0.0100,0.24390,77.0,3.15618,,2.47,21.74,6.58,0.26978,,0.21,g m-2 yr-1,mg l-1,0.22,0.222,,
Salas & Martino 1991,Livingston,United States,reservoir,Texas,30.75776,-95.13229,6.30,0.243,334.000,2.1042,8.65926,53.8,2.075142857,,1.6,41.97,14.60,0.563142857,,0.20,g m-2 yr-1,mg l-1,0.23,0.645,,
Salas & Martino 1991,Chapala,Mexico,Lake,Jalisco,20.24355,-102.97286,4.43,15.940,1078.500,4.7778,0.29973,5.2,18.64584199,,1.13,97.94,1.51,5.426076749,,0.68,g m-2 yr-1,mg l-1,0.94,0.875,,
Salas & Martino 1991,Poza Honda,Ecuador,Reservoir,,-1.10858,-80.15663,20.14,1.574,3.800,0.0765,0.04862,NA,NA,,ND,82.41,15.10,1.180109235,,0.20,g m-2 yr-1,mg l-1,NA,0.831,,
Salas & Martino 1991,Vigario,Brazil,Reservoir,,-22.66921,-43.88032,9.80,0.008,3.850,0.0377,4.71625,1019.0,0.831836735,,0.836,2.33,142.90,0.116653061,,0.08,g m-2 yr-1,mg l-1,-0.01,0.280,,
Salas & Martino 1991,Paiva Castro,Brazil,Reservoir,,-23.33417,-46.65741,5.40,0.028,4.100,0.0221,0.79071,184.8,0.958222222,,0.831,13.28,5.48,0.028414815,,0.02,g m-2 yr-1,mg l-1,0.13,0.191,,
Salas & Martino 1991,Santana,Brazil,Reservoir,,-22.61059,-43.87492,2.50,0.002,4.750,0.0119,5.93750,1094.0,0.8752,,0.938,0.59,151.60,0.12128,,0.10,g m-2 yr-1,mg l-1,-0.07,0.175,,
Salas & Martino 1991,Cachoeira,Brazil,Reservoir,,-18.55567,-49.48023,10.70,0.130,7.100,0.0760,0.58438,72.1,0.875981308,,0.79,9.82,4.14,0.050299065,,0.03,g m-2 yr-1,mg l-1,0.10,0.364,,
Salas & Martino 1991,Taiacupeba,Brazil,Reservoir,,-23.59071,-46.26921,2.20,0.135,8.800,0.0194,0.14341,12.6,0.773181818,,0.506,34.56,0.64,0.039272727,,0.03,g m-2 yr-1,mg l-1,0.35,0.211,,
Salas & Martino 1991,Americana,Brazil,Reservoir,,-22.72681,-47.23556,7.80,0.084,12.700,0.0991,1.17929,356.6,3.840307692,,2.456,36.05,31.62,0.340523077,,0.10,g m-2 yr-1,mg l-1,0.36,0.712,,
Salas & Martino 1991,Descoberto,Brazil,Reservoir,,-15.76558,-48.21495,6.90,0.280,14.900,0.1028,0.36718,NA,NA,,0.46,45.45,0.65,0.026376812,,0.02,g m-2 yr-1,mg l-1,NA,0.393,,
Salas & Martino 1991,Ponte Nova,Brazil,Reservoir,,-23.55035,-45.85885,8.30,0.806,20.500,0.1702,0.21110,7.8,0.753561446,,0.579,23.16,0.47,0.045640964,,0.03,g m-2 yr-1,mg l-1,0.23,0.452,,
Salas & Martino 1991,Atibainha,Brazil,Reservoir,,-23.17302,-46.36964,12.50,0.388,20.800,0.2600,0.67010,29.0,0.9014016,,0.901,0.04,1.29,0.0400416,,0.02,g m-2 yr-1,mg l-1,0.00,0.426,,
Salas & Martino 1991,Itupararanga,Brazil,Reservoir,,-23.61552,-47.39067,7.80,0.660,20.900,0.1630,0.24700,32.4,2.741538462,,0.889,67.57,2.11,0.178538462,,0.03,g m-2 yr-1,mg l-1,0.68,0.838,,
Salas & Martino 1991,Guarapiranga,Brazil,Reservoir,,-23.72266,-46.73174,4.90,0.331,23.600,0.1156,0.34937,15.8,1.067306122,,0.88,17.55,1.70,0.114836735,,0.04,g m-2 yr-1,mg l-1,0.18,0.617,,
Salas & Martino 1991,Lajes,Brazil,Reservoir,,-22.77338,-43.96170,13.60,0.760,26.000,0.3536,0.46526,9.1,0.510764706,,0.475,7.00,0.80,0.044426471,,0.02,g m-2 yr-1,mg l-1,0.07,0.595,,
Salas & Martino 1991,Funil,Brazil,Reservoir,,-22.56513,-44.59598,21.00,0.081,33.300,0.6993,8.63333,212.6,0.819951429,,0.6,26.82,29.30,0.113014286,,0.07,g m-2 yr-1,mg l-1,0.27,0.416,,
Salas & Martino 1991,Jaguari,Brazil,Reservoir,,-23.20457,-46.05844,16.80,1.225,35.000,0.5880,0.48000,22.9,1.669791667,,0.792,52.57,3.28,0.239166667,,0.04,g m-2 yr-1,mg l-1,0.53,0.849,,
Salas & Martino 1991,Paranoa,Brazil,Reservoir,,-15.78542,-47.81970,14.30,0.731,39.500,0.5649,0.77271,NA,NA,,1.26,68.51,2.93,0.149778322,,0.04,g m-2 yr-1,mg l-1,NA,0.733,,
Salas & Martino 1991,Pairaibuna,Brazil,Reservoir,,-23.37435,-45.61928,26.40,1.923,168.000,4.4352,2.30640,10.2,0.742977273,,0.573,22.88,0.79,0.057544318,,0.02,g m-2 yr-1,mg l-1,0.23,0.722,,
Salas & Martino 1991,Barra Bonita,Brazil,Reservoir,,-22.52500,-48.53041,8.60,0.221,250.000,2.1500,9.72851,98.5,2.53122093,,1.376,45.64,6.96,0.178855814,,0.06,g m-2 yr-1,mg l-1,0.46,0.670,,
Teodoru and Wehrli 2005,Iron Gate,Romania,Reservoir,,44.66552,22.53138,17.26,0.012,,,,211.7,,247.7,,-17.01,14.90,0.010640913,16.5,,kt y-1,,-0.17,-0.107,changed n data to reflect actual negative value (instead of 0 reported by Harrison),
Windolf et al. 1996,Hejrede S?,Denmark,Lake,,54.73936,11.59228,0.90,0.100,0.510,0.0005,0.00462,241.0,9.7,184,,26.00,,0.17,,0.14,mg N m-2 d-1,mg l-1,0.26,0.182,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,Lange S?,Denmark,Lake,,55.43490,10.19708,3.10,0.550,0.170,0.0005,0.00125,208.0,10.3,115,,47.00,,0.207,,0.28,mg N m-2 d-1,mg l-1,0.47,-0.329,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,Borup S?,Denmark,Lake,,55.48658,11.98398,0.90,0.050,0.100,0.0001,0.00175,403.0,8.4,328,,21.00,,0.128,,0.149,mg N m-2 d-1,mg l-1,0.21,-0.164,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,S?g†rd S?,Denmark,Lake,,55.42943,9.32265,1.60,0.070,0.270,0.0004,0.00672,825.0,12.1,683,,18.00,,,,,mg N m-2 d-1,,0.18,-0.096,"P data from Sondergaard et al 2012, pulled data from Fig 3",mass
Windolf et al. 1996,Kilen,Denmark,Lake,,56.50043,8.56434,2.90,0.690,3.340,0.0097,0.01438,92.0,7.8,25,,72.00,,0.15,,0.17,mg N m-2 d-1,mg l-1,0.72,-0.120,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,St. S?g†rd S?,Denmark,Lake,,54.93583,9.44316,2.70,0.170,0.270,0.0007,0.00421,513.0,12,366,,29.00,,,,,mg N m-2 d-1,,0.29,-0.103,"P data from Sondergaard et al 2012, pulled data from Fig 3",mass
Windolf et al. 1996,Dons N?rres?,Denmark,Lake,,55.55702,9.42617,1.00,0.050,0.360,0.0004,0.00684,406.0,7.8,306,,24.00,,0.094,,0.17,mg N m-2 d-1,mg l-1,0.24,-0.798,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,Hinge S?,Denmark,Lake,,56.25657,9.49628,1.20,0.040,0.910,0.0011,0.02223,415.0,6.2,339,,19.00,,,,,mg N m-2 d-1,,0.19,-0.053,"P data from Sondergaard et al 2012, pulled data from Fig 3",mass
Windolf et al. 1996,Vesterborg S?,Denmark,Lake,,54.86567,11.27331,1.40,0.050,0.210,0.0003,0.00526,769.0,11.2,607,,22.00,,,,,mg N m-2 d-1,,0.22,0.102,"P data from Sondergaard et al 2012, pulled data from Fig 3",mass
Windolf et al. 1996,Jels Overs?,Denmark,Lake,,55.38330,9.25000,1.20,0.020,0.090,0.0001,0.00579,1940.0,11,1729,,11.00,,0.136,,0.27,mg N m-2 d-1,mg l-1,0.11,-1.015,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,Gunds?magle S?,Denmark,Lake,,55.73330,12.20000,1.20,0.080,0.320,0.0004,0.00427,468.0,12.8,295,,38.00,,,,,mg N m-2 d-1,,0.38,-0.130,"P data from Sondergaard et al 2012, pulled data from Fig 3",mass
Windolf et al. 1996,Lemvig S?,Denmark,Lake,,56.56667,8.78333,2.00,0.080,0.160,0.0003,0.00450,671.0,8.7,492,,26.00,,0.212,,0.29,mg N m-2 d-1,mg l-1,0.26,-0.349,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,F†rup S?,Denmark,Lake,,55.73330,9.40000,5.60,0.490,0.990,0.0055,0.01141,120.0,3.8,52,,57.00,,,,,mg N m-2 d-1,,0.57,,No P data,mass
Windolf et al. 1996,Fugles?,Denmark,Lake,,55.76670,12.21670,2.00,0.140,0.050,0.0001,0.00072,435.0,11,201,,56.00,,0.151,,0.22,mg N m-2 d-1,mg l-1,0.56,-0.477,Got P data from Jensen et al 2006,mass
Windolf et al. 1996,?rn S?,Denmark,Lake,,56.15000,9.51670,4.00,0.040,0.420,0.0017,0.03622,378.0,1.6,331,,12.00,,0.124,,0.09,mg N m-2 d-1,mg l-1,0.12,0.242,Got P data from Jensen et al 2006,mass
